pep_id,Author,BDFL-Delegate,Created,Created_dt,Discussions-To,Last-Modified,PEP,Post-History,Python-Version,Replaces,Requires,Resolution,Sponsor,Status,Superseded-By,Title,Type,Version
0573,"Petr Viktorin <encukou at gmail.com>,
Nick Coghlan <ncoghlan at gmail.com>,
Eric Snow <ericsnowcurrently at gmail.com>
Marcel Plch <gmarcel.plch at gmail.com>",,02-Jun-2016,2016-06-02 00:00:00,import-sig at python.org,,573,,3.8,,,,,Draft,,Module State Access from C Extension Methods,Standards Track,
0236,Tim Peters <tim.peters at gmail.com>,,26-Feb-2001,2001-02-26 00:00:00,,,236,26-Feb-2001,2.1,,,,,Final,,Back to the __future__,Standards Track,
0525,Yury Selivanov <yury at magic.io>,,28-Jul-2016,2016-07-28 00:00:00,<python-dev at python.org>,,525,"02-Aug-2016, 23-Aug-2016, 01-Sep-2016, 06-Sep-2016",3.6,,,,,Final,,Asynchronous Generators,Standards Track,
0223,tim.peters at gmail.com (Tim Peters),,20-Aug-2000,2000-08-20 00:00:00,,,223,23-Aug-2000,2.0,,,,,Final,,Change the Meaning of \x Escapes,Standards Track,
0215,ping at zesty.ca (Ka-Ping Yee),,24-Jul-2000,2000-07-24 00:00:00,,,215,,2.1,,,,,Superseded,292,String Interpolation,Standards Track,
0392,Georg Brandl <georg at python.org>,,30-Dec-2009,2009-12-30 00:00:00,,,392,,3.2,,,,,Final,,Python 3.2 Release Schedule,Informational,
0411,"Nick Coghlan <ncoghlan at gmail.com>,
Eli Bendersky <eliben at gmail.com>",,2012-02-10,2012-02-10 00:00:00,,,411,"2012-02-10, 2012-03-24",3.3,,,,,Active,,Provisional packages in the Python standard library,Informational,
8016,"Nathaniel J. Smith, Donald Stufft",,2018-11-01,2018-11-01 00:00:00,,,8016,,,,,,,Accepted,,The Steering Council Model,Informational,
0246,"aleaxit at gmail.com (Alex Martelli),
cce at clarkevans.com (Clark C. Evans)",,21-Mar-2001,2001-03-21 00:00:00,,,246,"29-Mar-2001, 10-Jan-2005",2.5,,,,,Rejected,,Object Adaptation,Standards Track,
0284,"David Eppstein <eppstein at ics.uci.edu>,
Greg Ewing <greg.ewing at canterbury.ac.nz>",,1-Mar-2002,2002-03-01 00:00:00,,,284,,2.3,,,,,Rejected,,Integer for-loops,Standards Track,
8014,Jack Jansen,,2018-09-16,2018-09-16 00:00:00,,,8014,,,,,,,Rejected,,The Commons Governance Model,Informational,
0439,Richard Jones <richard at python.org>,Nick Coghlan <ncoghlan at gmail.com>,18-Mar-2013,2013-03-18 00:00:00,<distutils-sig at python.org>,,439,19-Mar-2013,3.4,,,https//mail.python.org/pipermail/distutils-sig/2013-August/022527.html,,Rejected,,Inclusion of implicit pip bootstrap in Python installation,Standards Track,
0437,Stefan Krah <skrah at bytereef.org>,,2013-03-11,2013-03-11 00:00:00,,,437,,3.4,,,https//mail.python.org/pipermail/python-dev/2013-May/126117.html,,Rejected,,"A DSL for specifying signatures, annotations and argument converters",Standards Track,
0293,Walter Dörwald <walter at livinglogic.de>,,18-Jun-2002,2002-06-18 00:00:00,,,293,19-Jun-2002,2.3,,,,,Final,,Codec Error Handling Callbacks,Standards Track,
0581,Mariatta Wijaya <mariatta at python.org>,,20-Jun-2018,2018-06-20 00:00:00,#pep581 stream in Zulip,,581,7-Mar-2019,,,,,,Draft,,Using GitHub Issues for CPython,Process,
0506,Steven D'Aprano <steve at pearwood.info>,,19-Sep-2015,2015-09-19 00:00:00,,,506,,3.6,,,,,Final,,Adding A Secrets Module To The Standard Library,Standards Track,
0358,"Neil Schemenauer <nas at arctrix.com>, Guido van Rossum <guido at python.org>",,15-Feb-2006,2006-02-15 00:00:00,,,358,,"2.6, 3.0",,,,,Final,,"The ""bytes"" Object",Standards Track,
0360,Brett Cannon <brett at python.org>,,30-May-2006,2006-05-30 00:00:00,,,360,,,,,,,Final,,Externally Maintained Packages,Process,
0583,Jeffrey Yasskin <jyasskin at google.com>,,22-Mar-2008,2008-03-22 00:00:00,,"2007-06-28 125341 -0700 (Thu, 28 Jun 2007)",583,,,,,,,Withdrawn,,A Concurrency Memory Model for Python,Informational,56116
3116,"Daniel Stutzbach <daniel at stutzbachenterprises.com>,
Guido van Rossum <guido at python.org>,
Mike Verdone <mike.verdone at gmail.com>",,26-Feb-2007,2007-02-26 00:00:00,,,3116,26-Feb-2007,3.0,,,,,Final,,New I/O,Standards Track,
0328,Aahz <aahz at pythoncraft.com>,,21-Dec-2003,2003-12-21 00:00:00,,,328,8-Mar-2004,"2.4, 2,5, 2.6",,,,,Final,,Imports Multi-Line and Absolute/Relative,Standards Track,
8001,"Brett Cannon <brett at python.org>,
Christian Heimes <christian at python.org>,
Donald Stufft <donald at stufft.io>,
Eric Snow <ericsnowcurrently at gmail.com>,
Gregory P. Smith <greg at krypto.org>,
Łukasz Langa <lukasz at python.org>
Mariatta Wijaya <mariatta at python.org>,
Nathaniel J. Smith <njs at pobox.com>,
Pablo Galindo Salgado <pablogsal at gmail.com>,
Raymond Hettinger <python at rcn.com>,
Tal Einat <taleinat at gmail.com>,
Tim Peters <tim.peters at gmail.com>,
Zachary Ware <zachary.ware at gmail.com>",,2018-08-24,2018-08-24 00:00:00,,,8001,,,,,,,Accepted,,Python Governance Voting Process,Process,
0329,Raymond Hettinger <python at rcn.com>,,18-Apr-2004,2004-04-18 00:00:00,,,329,18-Apr-2004,2.4,,,,,Rejected,,Treating Builtins as Constants in the Standard Library,Standards Track,
0373,Benjamin Peterson <benjamin at python.org>,,3-Nov-2008,2008-11-03 00:00:00,,,373,,2.7,,,,,Active,,Python 2.7 Release Schedule,Informational,
0230,guido at python.org (Guido van Rossum),,,,,,230,05-Nov-2000,2.1,,,,,Final,,Warning Framework,Standards Track,
0530,Yury Selivanov <yury at magic.io>,,03-Sep-2016,2016-09-03 00:00:00,<python-dev at python.org>,,530,03-Sep-2016,3.6,,,,,Final,,Asynchronous Comprehensions,Standards Track,
0510,Victor Stinner <vstinner at redhat.com>,,4-January-2016,2016-01-04 00:00:00,,,510,,3.6,,,,,Rejected,,Specialize functions with guards,Standards Track,
0445,Victor Stinner <vstinner at redhat.com>,Antoine Pitrou <solipsis at pitrou.net>,15-Jun-2013,2013-06-15 00:00:00,,,445,,3.4,,,https//mail.python.org/pipermail/python-dev/2013-July/127222.html,,Final,,Add new APIs to customize Python memory allocators,Standards Track,
8013,Steve Dower <steve.dower at python.org>,,2018-09-14,2018-09-14 00:00:00,,,8013,,,,,,,Rejected,,The External Council Governance Model,Informational,
0465,Nathaniel J. Smith <njs at pobox.com>,,20-Feb-2014,2014-02-20 00:00:00,,,465,13-Mar-2014,3.5,,,,,Final,,A dedicated infix operator for matrix multiplication,Standards Track,
3119,"Guido van Rossum <guido at python.org>, Talin <viridia at gmail.com>",,18-Apr-2007,2007-04-18 00:00:00,,,3119,"26-Apr-2007, 11-May-2007",,,,,,Final,,Introducing Abstract Base Classes,Standards Track,
0277,neilh at scintilla.org (Neil Hodgson),,11-Jan-2002,2002-01-11 00:00:00,,,277,,2.3,,,,,Final,,Unicode file name support for Windows NT,Standards Track,
0454,Victor Stinner <vstinner at redhat.com>,Charles-François Natali <cf.natali at gmail.com>,3-September-2013,2013-09-03 00:00:00,,,454,,3.4,,,https//mail.python.org/pipermail/python-dev/2013-November/130491.html,,Final,,Add a new tracemalloc module to trace Python memory allocations,Standards Track,
0372,"Armin Ronacher <armin.ronacher at active-4.com>
Raymond Hettinger <python at rcn.com>",,15-Jun-2008,2008-06-15 00:00:00,,,372,,"2.7, 3.1",,,,,Final,,Adding an ordered dictionary to collections,Standards Track,
0430,Nick Coghlan <ncoghlan at gmail.com>,Georg Brandl,27-Oct-2012,2012-10-27 00:00:00,,,430,,,,,,,Final,,Migrating to Python 3 as the default online documentation,Informational,
0220,gmcm at hypernet.com (Gordon McMillan),,14-Aug-2000,2000-08-14 00:00:00,,,220,,,,,,,Rejected,,"Coroutines, Generators, Continuations",Informational,
0499,"Cameron Simpson <cs at cskk.id.au>, Chris Angelico <rosuav at gmail.com>, Joseph Jevnik <joejev at gmail.com>",Nick Coghlan,07-Aug-2015,2015-08-07 00:00:00,,,499,,3.8,,,,,Draft,,python -m foo should bind sys.modules['foo'] in addition to sys.modules['__main__'],Standards Track,
3126,"Jim J. Jewett <JimJJewett at gmail.com>,
Raymond Hettinger <python at rcn.com>",,29-Apr-2007,2007-04-29 00:00:00,,,3126,"29-Apr-2007, 30-Apr-2007, 07-May-2007",,,,,,Rejected,,Remove Implicit String Concatenation,Standards Track,
0302,"Just van Rossum <just at letterror.com>,
Paul Moore <p.f.moore at gmail.com>",,19-Dec-2002,2002-12-19 00:00:00,,,302,19-Dec-2002,2.3,,,,,Final,,New Import Hooks,Standards Track,
0459,Nick Coghlan <ncoghlan at gmail.com>,Nick Coghlan <ncoghlan at gmail.com>,11 Nov 2013,2013-11-11 00:00:00,Distutils SIG <distutils-sig at python.org>,,459,21 Dec 2013,,,426,,,Withdrawn,,Standard Metadata Extensions for Python Software Packages,Standards Track,
0538,Nick Coghlan <ncoghlan at gmail.com>,INADA Naoki,28-Dec-2016,2016-12-28 00:00:00,,,538,"03-Jan-2017 (linux-sig),
07-Jan-2017 (python-ideas),
05-Mar-2017 (python-dev),
09-May-2017 (python-dev)",3.7,,,https//mail.python.org/pipermail/python-dev/2017-May/148035.html,,Final,,Coercing the legacy C locale to a UTF-8 based locale,Standards Track,
0324,Peter Astrand <astrand at lysator.liu.se>,,19-Nov-2003,2003-11-19 00:00:00,,,324,,2.4,,,,,Final,,subprocess - New process module,Standards Track,
0571,"Mark  Williams <mrw at enotuniq.org>,
Geoffrey Thomas <geofft at ldpreload.com>,
Thomas Kluyver <thomas at kluyver.me.uk>",Nick Coghlan <ncoghlan at gmail.com>,,,Distutils SIG <distutils-sig at python.org>,,571,,,,,https//mail.python.org/pipermail/distutils-sig/2018-April/032156.html,,Active,,The manylinux2010 Platform Tag,Informational,
0008,"Guido van Rossum <guido at python.org>,
Barry Warsaw <barry at python.org>,
Nick Coghlan <ncoghlan at gmail.com>",,05-Jul-2001,2001-07-05 00:00:00,,,8,"05-Jul-2001, 01-Aug-2013",,,,,,Active,,Style Guide for Python Code,Process,
0290,Raymond Hettinger <python at rcn.com>,,6-Jun-2002,2002-06-06 00:00:00,,,290,,,,,,,Active,,Code Migration and Modernization,Informational,
0562,Ivan Levkivskyi <levkivskyi at gmail.com>,,09-Sep-2017,2017-09-09 00:00:00,,,562,09-Sep-2017,3.7,,,https//mail.python.org/pipermail/python-dev/2017-December/151033.html,,Final,,Module __getattr__ and __dir__,Standards Track,
